"Plant Name, Unit Number",NRC Reactor Unit Web Page ,Docket  Number,Location,NRC Region,Licensee,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Contructor,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),2007 Capacity Factor (Percent),,2005 Capacity Factor (Percent),2004 Capacity Factor (Percent),2003 Capacity Factor (Percent),,,,,
"Hope Creek Generating Station, Unit 1",Hope Creek 1,05000354,"Hancocks Bridge, NJ (18 MI SE of Wilmington,  DE)",1,"PSEG Nuclear, LLC",BWR-MARK 1,GE 4,BECH,BECH,11/4/74,7/25/86,12/20/86,7/20/11,4/11/46,3840,,93%,103%,93%,95%,108%,87%,,83%,65%,79%,,,,,
"Indian Point Nuclear Generating, Unit 2",Indian Point 2,05000247,"Buchanan, NY (24 MI N of New York,  NY)",1,"Entergy Nuclear Operations, Inc.",PWR-DRYAMB,WEST 4LP,UE&C,WDCO,10/14/66,9/28/73,8/1/74,N/A,9/28/13,3216,,90%,98%,82%,98%,91%,99%,,99%,88%,99%,,,,,
"Indian Point Nuclear Generating, Unit 3",Indian Point 3,05000286,"Buchanan, NY (24 MI N of New York,  NY)",1,"Entergy Nuclear Operations, Inc.",PWR-DRYAMB,WEST 4LP,UE&C,WDCO,8/13/69,12/12/75,8/30/76,N/A,12/12/15,3216,,100%,90%,99%,85%,107%,87%,,90%,101%,88%,,,,,
James A. FitzPatrick Nuclear Power Plant,FitzPatrick,05000333,"Scriba, NY (6 MI NE of Oswego,  NY)",1,"Entergy Nuclear FitzPatrick, LLC.",BWR-MARK 1,GE 4,S&W,S&W,5/20/70,10/17/74,7/28/75,9/8/08,10/17/34,2536,,84%,97%,85%,99%,89%,93%,,95%,87%,96%,,,,,
"Joseph M. Farley Nuclear Plant, Unit 1",Farley 1,05000348,"Columbia, AL (18 MI S of Dothan,  AL)",2,Southern Nuclear Operating Co. ,PWR-DRYAMB,WEST 3LP,SSI,DANI,8/16/72,6/25/77,12/1/77,5/12/05,6/25/37,2775,,91%,101%,88%,90%,97%,88%,,99%,86%,91%,,,,,
"Joseph M. Farley Nuclear Plant, Unit 2",Farley 2,05000364,"Columbia, AL (18 MI S of Dothan,  AL)",2,Southern Nuclear Operating Co. ,PWR-DRYAMB,WEST 3LP,SSI,BECH,8/16/72,3/31/81,7/30/81,5/12/05,3/31/41,2775,,104%,89%,88%,96%,90%,87%,,84%,89%,100%,,,,,
"LaSalle County Station, Unit  1",La Salle 1,05000373,"Marseilles, IL (11 MI SE of Ottawa,  IL)",3,"Exelon Generation Co., LLC",BWR-MARK 2,GE 5,S&L,CWE,9/10/73,4/17/82,1/1/84,N/A,4/17/22,3546,,97%,101%,94%,99%,100%,99%,,100%,92%,92%,,,,,
"LaSalle County Station, Unit  2",La Salle 2,05000374,"Marseilles, IL (11 MI SE of Ottawa,  IL)",3,"Exelon Generation Co., LLC",BWR-MARK 2,GE 5,S&L,CWE,9/10/73,12/16/83,10/19/84,N/A,12/16/23,3546,,103%,96%,101%,93%,94%,95%,,91%,101%,91%,,,,,
"Limerick Generating Station, Unit 1",Limerick 1,05000352,"Limerick, PA (21 MI NW of Philadelphia,  PA)",1,"Exelon Generation Co., LLC",BWR-MARK 2,GE 4,BECH,BECH,6/19/74,8/8/85,2/1/86,N/A,10/26/24,3515,,85%,96%,91%,101%,95%,101%,,99%,95%,101%,,,,,
"Limerick Generating Station, Unit 2",Limerick 2,05000353,"Limerick, PA (21 MI NW of Philadelphia,  PA)",1,"Exelon Generation Co., LLC",BWR-MARK 2,GE 4,BECH,BECH,6/19/74,8/25/89,1/8/90,N/A,6/22/29,3515,,95%,90%,99%,94%,101%,91%,,91%,99%,94%,,,,,
