OBJECTID,PLANT_NAME,COUNTY,ONLINE_MW,FACILITY,GENERAL_FUEL,PRIMARY_FUEL,TECHNOLOGY,STATUS,TURBINE_MW,ONLINE_DATE,PLANT_CITY,PLANT_STATE,PLANT_ZIPC,RIVER_SYSTEM,STREAM_NAME,DEVELOPER,ELEVATION
146,STONY GORGE,GLENN,5.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=2.45, 2=2.45",3/1/86,ELK CREEK,CA,95939,STONY CREEK,"STONY CREEK, SACRAMENTO RIVER",CITY OF SANTA CLARA,225.9710693
148,WOODLEAF,BUTTE,59.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,#1 = /52.0,11/1/63,OROVILLE,CA,95965,FEATHER RIVER,SOUTH FORK FEATHER RIVER,OROVILLE-WYANDOTTE IRRIGATION DISTRICT,587.6542358
149,FORBESTOWN,BUTTE,29.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,1/1/63,OROVILLE,CA,95941,SF FEATHER RIVER,SOUTH FORK FEATHER RIVER,OROVILLE-WYANDOTTE IRRIGATION DISTRICT,292.9087524
150,KANAKA,BUTTE,1.12,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,2/13/89,FEATHER FALLS,CA,95940,SUCKER RUN CREEK,"SUCKER RUN CREEK, SOUTH FORK FEATHER RIVER","STS HYDROPOWER, LTD",292.7064209
151,DEADWOOD CREEK,YUBA,1.95,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,1/29/90,CHALLENGE,CA,95925,DEADWOOD CREEK,"DEADWOOD CREEK, NORTH YUBA RIVER",YUBA COUNTY WATER AGENCY,607.3164063
152,EDWARD C  HYATT,BUTTE,644.25,HYDROELECTRIC,HYDRO,WATER,"PUMPED STORAGE, HYDRO",OPERATIONAL,"1=117, 2=97.75, 3=117, 4=97.75, 5=117, 6=97.75",6/1/68,BUTTE,CA,95965,FEATHER RIVER,FEATHER RIVER,DEPT OF WATER RESOURCES,108.4666824
153,KELLY RIDGE,BUTTE,10.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,#1 = 11,1/1/63,THERMALITO,CA,95965,SF FEATHER RIVER,"KELLY RIDGE CANAL, FEATHER RIVER",OROVILLE-WYANDOTTE IRRIGATION DISTRICT,79.8275528
155,THERMALITO DIVERSION DAM,BUTTE,3.40,HYDROELECTRIC,HYDRO,WATER,HYDRAULIC TURBINE - CONVENTIONAL,OPERATIONAL,,7/1/87,OROVILLE,CA,95965,FEATHER RIVER,FEATHER RIVER,DEPT OF WATER RESOURCES,70.8837357
157,THERMALITO,BUTTE,115.10,HYDROELECTRIC,HYDRO,WATER,"HYDRO, PUMPED STORAGE",OPERATIONAL,"1=38, 2=30, 3=30, 4=30",2/1/68,OROVILLE,CA,95965,FEATHER RIVER,OFF STREAM FEATHER RIVER,DEPT OF WATER RESOURCES,60.4561539
159,STAMPEDE,SIERRA,3.65,HYDROELECTRIC,HYDRO,WATER,"RUN-OF-RIVER, WATER",OPERATIONAL,#1 = /3.0                            #2 = /0.7,6/1/88,TRUCKEE,CA,96126,LITTLE TRUCKEE RIVER,LOWER TRUCKEE RIVER,USBR,1743.3358154
