State,County,Entity ID,Entity,Facility ID,Plant Name,Generator ID,Unit Code,Status,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Primary Purpose,Prime Mover,Primary Energy Source,Secondary Energy Source,Initial Month of Operation,Initial Year of Operation
IA,Clinton,772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,1A,,OP,75,75,75,311,ST,SUB,BIT,2,2009
IA,Clinton,772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,2A,,OP,105,105,105,311,ST,SUB,BIT,4,2009
IA,Polk,772,Archer Daniels Midland Co,10861,Archer Daniels Midland Des Moines,GEN1,,OP,7.9,7.9,7.9,311,ST,SUB,,5,1988
NE,Lancaster,772,Archer Daniels Midland Co,10862,Archer Daniels Midland Lincoln,GEN1,,OP,7.9,7.9,7.9,311,ST,SUB,,7,1988
MN,Blue Earth,772,Archer Daniels Midland Co,10863,Archer Daniels Midland Mankato,GEN1,,OP,6.1,6.2,6.2,311,ST,SUB,,10,1987
IA,Linn,772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,GEN1,,OP,31,31,31,311,ST,SUB,BIT,11,1988
IA,Linn,772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,GEN2,,OP,31,31,31,311,ST,SUB,BIT,11,1988
IA,Linn,772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,GEN3,,OP,31,31,31,311,ST,SUB,BIT,11,1988
IA,Linn,772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,GEN4,,OP,31,31,31,311,ST,SUB,BIT,11,1988
IA,Linn,772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,GEN5,,OP,31,31,31,311,ST,SUB,BIT,2,1995
IA,Linn,772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,GEN6,,OP,101.1,105,105,311,ST,SUB,BIT,11,2000
IL,Macon,772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,GEN2,,OP,31,31,31,311,ST,BIT,SUB,4,1987
IL,Macon,772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,GEN3,,OP,31,31,31,311,ST,BIT,SUB,4,1987
IL,Macon,772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,GEN4,,OP,31,31,31,311,ST,BIT,SUB,5,1987
IL,Macon,772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,GEN5,,OP,31,31,31,311,ST,BIT,SUB,12,1987
IL,Macon,772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,GEN6,,OP,31,31,31,311,ST,BIT,SUB,9,1994
IL,Macon,772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,GEN7,,OP,75,75,75,311,ST,BIT,SUB,4,1997
IL,Macon,772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,GEN8,,OP,105,105,105,311,ST,BIT,SUB,4,2005
IL,Peoria,772,Archer Daniels Midland Co,10866,Archer Daniels Midland Peoria,GEN1,,OP,1.5,1.5,1.5,311,ST,BIT,NG,1,1934
IL,Peoria,772,Archer Daniels Midland Co,10866,Archer Daniels Midland Peoria,GEN2,,OP,1.5,1.5,1.5,311,ST,BIT,NG,1,1934
IL,Peoria,772,Archer Daniels Midland Co,10866,Archer Daniels Midland Peoria,GEN3,,OP,4,4,4,311,ST,BIT,NG,1,1954
IL,Peoria,772,Archer Daniels Midland Co,10866,Archer Daniels Midland Peoria,GEN4,,OP,4,4,4,311,ST,BIT,NG,1,1985
IL,Peoria,772,Archer Daniels Midland Co,10866,Archer Daniels Midland Peoria,GEN5,,OP,4,4,4,311,ST,BIT,NG,1,1985
ND,Pembina,772,Archer Daniels Midland Co,55638,Walhalla,GEN1,,SB,2,2,2,311,ST,SUB,,12,2000
NE,PLATTE,772,Archer Daniels Midland Co,57046,Archer Daniels Midland Columbus,GEN1,,OP,71.4,61,61,311,ST,SUB,BIT,5,2010
AZ,Cochise,796,Arizona Electric Pwr Coop Inc,160,Apache Station,ST2,,OP,204,175,175,22,ST,SUB,NG,1,1979
AZ,Cochise,796,Arizona Electric Pwr Coop Inc,160,Apache Station,ST3,,OP,204,175,175,22,ST,SUB,NG,9,1979
AZ,Navajo,803,Arizona Public Service Co,113,Cholla,1,,OP,113.6,116,116,22,ST,BIT,NG,5,1962
AZ,Navajo,803,Arizona Public Service Co,113,Cholla,2,,OP,288.9,260,260,22,ST,BIT,DFO,6,1978
AZ,Navajo,803,Arizona Public Service Co,113,Cholla,3,,OP,312.3,271,271,22,ST,BIT,DFO,5,1980
AZ,Navajo,803,Arizona Public Service Co,113,Cholla,4,,OP,414,380,380,22,ST,BIT,DFO,6,1981
NM,San Juan,803,Arizona Public Service Co,2442,Four Corners,1,,OP,190,170,170,22,ST,BIT,,5,1963
NM,San Juan,803,Arizona Public Service Co,2442,Four Corners,2,,OP,190,170,170,22,ST,BIT,,6,1963
