,State,County,Plant Name,Status,Nameplate Capacity (MW),Primary Energy Source,Initial Month of Operation,Initial Year of Operation
160,NC,Buncombe,Asheville,OP,206.6,BIT,5,1964
161,NC,Buncombe,Asheville,OP,207.0,BIT,5,1971
162,NC,Chatham,Cape Fear,OP,140.6,BIT,12,1956
163,NC,Chatham,Cape Fear,OP,187.9,BIT,7,1958
164,NC,Wayne,HF Lee Plant,OP,75.0,BIT,6,1952
165,NC,Wayne,HF Lee Plant,OP,75.0,BIT,5,1951
166,NC,Wayne,HF Lee Plant,OP,252.4,BIT,8,1962
167,NC,Person,Roxboro,OP,410.8,BIT,5,1966
168,NC,Person,Roxboro,OP,657.0,BIT,5,1968
169,NC,Person,Roxboro,OP,745.2,BIT,7,1973
170,NC,Person,Roxboro,OP,745.2,BIT,9,1980
171,NC,New Hanover,L V Sutton,OP,112.5,BIT,8,1954
172,NC,New Hanover,L V Sutton,OP,112.5,BIT,5,1955
173,NC,New Hanover,L V Sutton,OP,446.6,BIT,6,1972
174,SC,Darlington,H B Robinson,OP,206.6,BIT,5,1960
175,NC,Person,Mayo,OP,735.8,BIT,3,1983
176,TN,Shelby,Cargill Corn Wet Milling Plant,OP,25.0,BIT,5,1985
177,IA,Monroe,Cargill Corn Milling Division,SB,20.0,SUB,12,1952
178,IA,Monroe,Cargill Corn Milling Division,OP,20.0,SUB,12,1952
179,IA,Black Hawk,Streeter Station,OP,16.5,BIT,9,1963
180,IA,Black Hawk,Streeter Station,OP,35.0,BIT,6,1973
181,MO,Osage,Chamois,OP,15.0,BIT,12,1953
182,MO,Osage,Chamois,OP,44.0,SUB,11,1960
183,IA,MUSCATINE,Fair Station,OP,25.0,BIT,1,1960
184,IA,MUSCATINE,Fair Station,OP,37.5,BIT,4,1967
185,LA,De Soto,Dolet Hills,OP,720.7,LIG,4,1986
186,LA,Rapides,Brame Energy Center,OP,558.0,SUB,8,1982
187,IN,ADAMS,Bunge North America East LLC,OP,2.0,BIT,12,1950
188,FL,Hernando,Central Power & Lime,OP,125.0,BIT,6,1988
189,OH,Clermont,Walter C Beckjord,OP,115.0,BIT,6,1952
190,OH,Clermont,Walter C Beckjord,OP,112.5,BIT,10,1953
191,OH,Clermont,Walter C Beckjord,OP,125.0,BIT,11,1954
192,OH,Clermont,Walter C Beckjord,OP,163.2,BIT,7,1958
193,OH,Clermont,Walter C Beckjord,OP,244.8,BIT,12,1962
