,PLANT_NAME,ONLINE_MW,FACILITY,PRIMARY_FUEL,TECHNOLOGY,STATUS,location,lat,lon
1263,CITY OF LONG BEACH - BELMONT PLAZA POOL,0.12,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,LONG BEACH+CA,33.7700504,-118.1937395
1264,ORANGE COUNTY SANITATION DIST. PLANT 1,7.5,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,FOUNTAIN VALLEY+CA,33.7091847,-117.9536697
1265,PLANT NO. 2,16.0,WTE,DIGESTER GAS,DIGESTER GAS/OTHER,OPERATIONAL,HUNTINGTON BEACH+CA,33.660297,-117.9992265
1266,CITY OF VENTURA - EASTSIDE WTR RENOVATION,0.55,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,VENTURA+CA,34.274646,-119.2290316
1267,SITHE ENERGIES,48.5,OIL/GAS,NATURAL GAS,COMBINED CYCLE/TOPPING CYCLE,OPERATIONAL,OXNARD+CA,34.1975048,-119.1770516
1268,OXNARD I & II,69.8,OIL/GAS,NATURAL GAS,GAS TURBINE,OPERATIONAL,OXNARD+CA,34.1975048,-119.1770516
1269,OXNARD HS,0.12,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,OXNARD+CA,34.1975048,-119.1770516
1270,HUENEME PAPER MILL,29.0,OIL/GAS,NATURAL GAS,GAS TURBINE,OPERATIONAL,OXNARD+CA,34.1975048,-119.1770516
1271,OXNARD,5.6,WTE,LANDFILL GAS,INTERNAL COMBUSTION ENGINE,OPERATIONAL,OXNARD+CA,34.1975048,-119.1770516
1272,OXNARD WWTP,1.5,WTE,LANDFILL GAS,RECIPROCATING ENGINE,OPERATIONAL,OXNARD+CA,34.1975048,-119.1770516
1273,"US GOVERNMENT, NAVAL ENGINEERING COMMAND",0.8,OIL/GAS,NATURAL GAS,COMBUSTION TURBINE/TOPPING CYCLE,OPERATIONAL,PORT HUENEME+CA,34.1477829,-119.1951074
1274,IMPERIAL VALLEY RESOURCE,18.0,WTE,BIOMASS,BIOMASS RENEWABLE ENERGY,OPERATIONAL,IMPERIAL VALLEY+CA,32.7375477,-114.9633007
1275,WEST BIOFUELS,0.25,WTE,AG & WOODWASTE,BIOMASS RENEWABLE ENERGY,OPERATIONAL,WOODLAND+CA,38.67851570000001,-121.7732971
1276,AMERESCO BUTTE COUNTY,2.16,WTE,LANDFILL GAS,METHANE GAS,OPERATIONAL,PARADISE+CA,39.7596061,-121.6219177
1277,ALTECH III,25.1,WIND,WIND,WIND TURBINE,OPERATIONAL,NORTH PALM SPRINGS+CA,33.9227924,-116.5430685
1278,BREA EXPANSION PLANT - BREA POWER II LLC,32.81,WTE,MSW,"COMBUSTION TURBINE, STEAM TURBINE",OPERATIONAL,BREA+CA,33.9166805,-117.9000604
1279,L-8 SOLAR PROJECT,1.5,SOLAR,PHOTOVOLTAIC,PHOTOVOLTAIC,OPERATIONAL,PALMDALE+CA,34.5794343,-118.1164613
1280,PACIFIC PALMS COGEN,2.04,OIL/GAS,NATURAL GAS,LANDFILL GAS,OPERATIONAL,CITY OF INDUSTRY+CA,34.0197335,-117.9586754
1281,MANZANA WIND,189.0,WIND,WIND,WIND TURBINE,OPERATIONAL,ROSAMOND+CA,34.8641446,-118.1634075
1282,HOUWELING NURSERIES,13.04,OIL/GAS,NATURAL GAS,INTERNAL COMBUSTION ENGINE,OPERATIONAL,CAMARILLO+CA,34.2163937,-119.0376023
1283,"QUALCOMM CENTRAL, BUILDING Q",4.5,OIL/GAS,NATURAL GAS,"GAS TURBINE, COMBINED CYCLE",OPERATIONAL,SAN DIEGO+CA,32.715738,-117.1610838
1284,LOS ESTEROS CRITICAL ENERGY CENTER,192.0,OIL/GAS,NATURAL GAS,COMBUSTION TURBINE,OPERATIONAL,SAN JOSE+CA,37.3393857,-121.8949555
